NumQubits;SizeOfDMat;VarSizeOfDMat;StdSizeOfDMat;SizeOfSMat;VarSizeOfSMat;StdSizeOfSMat;SizeOfFMat;VarSizeOfFMat;StdSizeOfFMat;AverageCreationTimeDMat;VarCreationTimeDMat;StdCreationTimeDMat;AverageCreationTimeSMat;VarCreationTimeSMat;StdCreationTimeSMat;AverageCreationTimeFMat;VarCreationTimeFMat;StdCreationTimeFMat;AverageAccessTimeDMat;VarAccessTimeDMat;StdAccessTimeDMat;AverageAccessTimeSMat;VarAccessTimeSMat;StdAccessTimeSMat;AverageAccessTimeFMat;VarAccessTimeFMat;StdAccessTimeFMat
3;1136.0;0.0;0.0;1192.0;0.0;0.0;40.0;0.0;0.0;129584.64;112380484904.55042;335231.9866966015;469071.36;248126037943.9104;498122.51298642426;10001.92;9903801964.9536;99517.84746945444;10022.4;9944401674.240002;99721.62089657389;499182.08;249416042748.31357;499415.7013433935;200599.04;160965306738.2784;401204.8189370093
4;4208.0;0.0;0.0;2288.0;0.0;0.0;40.0;0.0;0.0;80491.52;74508125051.2896;272961.7648156782;361664.0;232544288604.16;482228.4610059427;0.0;0.0;0.0;40186.88;38760240880.025604;196876.20699319054;1922155.52;93839136102.80957;306331.74191195006;880537.6;105731780771.84003;325164.2366125771
5;16496.0;0.0;0.0;4712.0;0.0;0.0;56.0;0.0;0.0;90083.84;82052668319.3344;286448.3693780336;590592.0;242387134709.76;492328.2794129949;20024.32;19647696181.657604;140170.24000000002;240256.0;182789483397.12;427538.8677034171;7516823.04;270466868962.91843;520064.29310511064;3483258.88;269957926066.58557;519574.7550320219
6;65648.0;0.0;0.0;9328.0;0.0;0.0;56.0;0.0;0.0;180088.32;147745520294.29755;384376.7946875794;760645.12;182710571964.82556;427446.57205880777;10007.04;9913944106.598402;99568.79082623431;630584.32;233533976844.69754;483253.5326768937;30067358.72;418468425603.4815;646891.355332162;13342231.04;221587295561.31836;470730.59764723
7;262256.0;0.0;0.0;9328.0;0.0;0.0;72.0;0.0;0.0;440407.04;246856133142.1184;496846.1866031764;960929.28;38474479901.0816;196149.12668957157;10007.04;9913944106.598406;99568.79082623433;2492121.6;270242960343.04;519848.9783995348;119538542.08;8239450179836.315;2870444.2478188486;55310266.88;653437537950.1055;808354.8341849052
8;1048688.0;0.0;0.0;147568.0;0.0;0.0;88.0;0.0;0.0;2001812.48;120204954409.36961;346705.8615157373;2752640.0;207899348828.16;455959.8105405344;10009.6;9919017123.840004;99594.26250462425;9608665.6;260484182016.0;510376.5100550769;474240698.88;165789877006309.78;12875941.791042307;222472163.84;53212704647276.14;7294703.876599525
9;4194416.0;0.0;0.0;36976.0;0.0;0.0;72.0;0.0;0.0;5194554.88;234200844016.02557;483943.0173233473;1251307.52;188008370903.44965;433599.32069071516;14379.52;20470288947.6096;143074.41751623384;39000911.36;1253081271101.0305;1119411.126932831;1868456227.84;767020814494623.4;27695140.629623517;838890869.76;145599845643609.75;12066476.10711635
10;16777328.0;0.0;0.0;589936.0;0.0;0.0;120.0;0.0;0.0;31128765.44;2574206525269.6064;1604433.3969565725;12080870.4;506043417886.7201;711367.2876135928;10009.6;9919017123.840002;99594.26250462425;157002659.84;20938122465797.734;4575819.321804319;7508662197.76;9739483275614350.0;98688820.41859832;3817667230.72;3171280972443524.0;56314127.645232365
