NumQubits;SizeOfDMat;SizeOfSMat;SizeOfFMat;AccessTimeDMat;AccessTimeSMat;AccessTimeFMat
13;1073741936;2684354672;8;11188359424;587857172224;143885933824
13;1073741936;2684354672;8;10907077888;592591908608;143120251136
13;1073741936;2684354672;8;11813397504;568934504960;143667168000
13;1073741936;2684354672;8;11219611904;569980814336;144167580160
13;1073741936;2684354672;8;11547755264;574481154560;141542440704
13;1073741936;2684354672;8;11203985408;587857172224;142870247168
13;1073741936;2684354672;8;10860200960;592841936640;142432699136
13;1073741936;2684354672;8;12172809728;569824553216;143385896448
13;1073741936;2684354672;8;11688387328;570558993920;142386272000
13;1073741936;2684354672;8;11657144320;574528035840;143026494208
