NumQubits;SizeOfDMat;SizeOfSMat;SizeOfFMat;AccessTimeDMat;AccessTimeSMat;AccessTimeFMat
4;4208;9328;8;0;0;0
5;16496;36976;8;0;15373824;0
6;65648;147568;8;0;31253248;0
7;262256;589936;8;0;124833536;46878464
8;1048688;2621552;8;0;484226560;140635648
9;4194416;10485872;8;31186432;1906592256;547363584
10;16777328;41943152;8;156455936;7719491840;2156259328
3;1136;2288;8;0;0;0
4;4208;9328;8;0;0;0
5;16496;36976;8;0;15625216;0
6;65648;147568;8;0;31252480;0
7;262256;589936;8;0;125009664;47246080
8;1048688;2621552;8;0;484460032;140820224
9;4194416;10485872;8;31282432;1890898432;531435264
10;16777328;41943152;8;156462080;7687896320;2171802368
3;1136;2288;8;0;0;0
4;4208;9328;8;0;0;0
5;16496;36976;8;0;0;0
6;65648;147568;8;0;31252480;15635712
7;262256;589936;8;0;124944640;32228864
8;1048688;2621552;8;15718912;484134144;140327168
9;4194416;10485872;8;46939904;1890764032;547296256
10;16777328;41943152;8;156360192;7703597568;2156514816
3;1136;2288;8;0;0;15633408
4;4208;9328;8;0;0;0
5;16496;36976;8;0;0;0
6;65648;147568;8;0;31638016;15373824
7;262256;589936;8;0;124640000;31236096
8;1048688;2621552;8;15639040;468595712;125185280
9;4194416;10485872;8;46715136;1906364928;562533632
10;16777328;41943152;8;156260096;7672289792;2187864320
3;1136;2288;8;0;0;0
4;4208;9328;8;0;0;0
5;16496;36976;8;0;0;0
6;65648;147568;8;0;31252224;15626240
7;262256;589936;8;0;109756416;31252480
8;1048688;2621552;8;15656192;484206080;140262656
9;4194416;10485872;8;31510528;1906138624;531664128
10;16777328;41943152;8;156050432;7688093952;2156460288
3;1136;2288;8;0;0;0
4;4208;9328;8;0;0;0
5;16496;36976;8;0;0;0
6;65648;147568;8;0;31252224;15624960
7;262256;589936;8;0;125003520;31735808
8;1048688;2621552;8;0;499847680;124994048
9;4194416;10485872;8;31327232;1906214912;546919168
10;16777328;41943152;8;140999168;7672282368;2187654400
3;1136;2288;8;0;0;0
4;4208;9328;8;0;0;0
5;16496;36976;8;0;0;0
6;65648;147568;8;0;31252224;15419648
7;262256;589936;8;0;125382656;31252480
8;1048688;2621552;8;15624192;484225280;125014784
9;4194416;10485872;8;31237888;1890779392;546915840
10;16777328;41943152;8;156461312;7656828672;2187668480
3;1136;2288;8;0;0;0
4;4208;9328;8;0;0;0
5;16496;36976;8;0;15616768;0
6;65648;147568;8;15625216;15516160;15640320
7;262256;589936;8;15626240;110285056;46812928
8;1048688;2621552;8;0;484366848;140110080
9;4194416;10485872;8;46766080;1906369536;546713600
10;16777328;41943152;8;156238848;7687894272;2187498752
3;1136;2288;8;0;0;0
4;4208;9328;8;0;0;0
5;16496;36976;8;0;15630080;0
6;65648;147568;8;0;31254784;0
7;262256;589936;8;0;124833792;31248128
8;1048688;2621552;8;15632128;468594432;140635904
9;4194416;10485872;8;31247104;1906764800;578169344
10;16777328;41943152;8;156084480;7704084480;2172049152
3;1136;2288;8;0;0;0
4;4208;9328;8;0;0;0
5;16496;36976;8;0;0;0
6;65648;147568;8;0;31256320;15625728
7;262256;589936;8;0;109059584;31275776
8;1048688;2621552;8;15906816;468777984;140942080
9;4194416;10485872;8;31450112;1922018304;546842112
10;16777328;41943152;8;140826112;7688093696;2187677952
3;1136;2288;8;0;0;0
4;4208;9328;8;0;0;0
5;16496;36976;8;0;15621376;15630080
6;65648;147568;8;0;31624192;0
7;262256;589936;8;0;125203968;31272704
8;1048688;2621552;8;0;484034560;140441344
9;4194416;10485872;8;46671104;1890981888;531676928
10;16777328;41943152;8;156261888;7672826368;2156205568
3;1136;2288;8;0;0;0
4;4208;9328;8;0;15625472;0
5;16496;36976;8;0;15625984;0
6;65648;147568;8;0;31252224;0
7;262256;589936;8;0;125009408;31252480
8;1048688;2621552;8;15636992;484404224;140831488
9;4194416;10485872;8;31060224;1906765568;546863872
10;16777328;41943152;8;140447232;7781853440;2203295744
3;1136;2288;8;0;0;0
4;4208;9328;8;0;15426304;0
5;16496;36976;8;0;15449600;0
6;65648;147568;8;0;30882560;0
7;262256;589936;8;0;124828672;31252480
8;1048688;2621552;8;15699968;484156160;140811776
9;4194416;10485872;8;46697472;1922209024;547110912
10;16777328;41943152;8;141085440;7766142976;2172230400
3;1136;2288;8;0;0;0
4;4208;9328;8;0;0;0
5;16496;36976;8;0;15442176;15638016
6;65648;147568;8;0;31252224;0
7;262256;589936;8;0;124811520;31622144
8;1048688;2621552;8;0;484649984;125012736
9;4194416;10485872;8;46868992;1906775040;546858240
10;16777328;41943152;8;156252160;7688274944;2187473664
3;1136;2288;8;0;0;0
4;4208;9328;8;0;0;0
5;16496;36976;8;0;0;0
6;65648;147568;8;0;31252224;15625984
7;262256;589936;8;15990528;109259776;31620608
8;1048688;2621552;8;0;484782336;140569088
9;4194416;10485872;8;47326208;1890507008;546658048
10;16777328;41943152;8;156270336;7703710976;2171859456
3;1136;2288;8;0;0;0
4;4208;9328;8;0;15625984;0
5;16496;36976;8;0;15626240;0
6;65648;147568;8;0;31254272;0
7;262256;589936;8;0;125009408;31339520
8;1048688;2621552;8;15591424;468777216;140558848
9;4194416;10485872;8;46868480;1891042048;547110912
10;16777328;41943152;8;140636416;7703930624;2172020992
3;1136;2288;8;0;0;0
4;4208;9328;8;0;0;0
5;16496;36976;8;0;0;0
6;65648;147568;8;0;31229952;16003072
7;262256;589936;8;0;109564672;31065600
8;1048688;2621552;8;0;484584448;140632576
9;4194416;10485872;8;47383040;1890650112;531118080
10;16777328;41943152;8;141130240;7688031488;2171846400
3;1136;2288;8;0;0;0
4;4208;9328;8;0;0;0
5;16496;36976;8;0;0;0
6;65648;147568;8;0;31406080;15565312
7;262256;589936;8;15813120;109196544;30832384
8;1048688;2621552;8;15631616;484770560;140627200
9;4194416;10485872;8;31247360;1922231040;546785024
10;16777328;41943152;8;156271872;7703704576;2172159744
3;1136;2288;8;0;0;0
4;4208;9328;8;0;0;0
5;16496;36976;8;0;0;0
6;65648;147568;8;0;31252480;15626496
7;262256;589936;8;0;124879872;31252224
8;1048688;2621552;8;0;484782336;140564480
9;4194416;10485872;8;46486016;1906653184;562356736
10;16777328;41943152;8;156421120;7688082176;2156330240
3;1136;2288;8;0;0;0
4;4208;9328;8;0;0;0
5;16496;36976;8;0;0;0
6;65648;147568;8;0;31252480;15626240
7;262256;589936;8;0;125184768;31252480
8;1048688;2621552;8;0;468776192;125008640
9;4194416;10485872;8;31251200;1922022144;546916864
10;16777328;41943152;8;156261632;7703714304;2156784128
3;1136;2288;8;0;0;0
4;4208;9328;8;0;0;15625984
5;16496;36976;8;0;16031232;0
6;65648;147568;8;0;30882304;0
7;262256;589936;8;15582976;109416960;46878720
8;1048688;2621552;8;15626240;484412672;140605184
9;4194416;10485872;8;46639104;1906599936;531474944
10;16777328;41943152;8;140643328;7672258304;2172041728
3;1136;2288;8;0;0;0
4;4208;9328;8;0;0;0
5;16496;36976;8;0;0;0
6;65648;147568;8;0;31252480;15625984
7;262256;589936;8;0;125009408;31628288
8;1048688;2621552;8;0;484316672;140636160
9;4194416;10485872;8;31252736;1968910336;546639104
10;16777328;41943152;8;156660480;7625360384;2218919168
3;1136;2288;8;0;0;0
4;4208;9328;8;0;0;0
5;16496;36976;8;0;15647232;15988992
6;65648;147568;8;0;31055872;0
7;262256;589936;8;0;125005824;31253760
8;1048688;2621552;8;0;484599552;125012224
9;4194416;10485872;8;31253504;1906186752;547002880
10;16777328;41943152;8;140628224;7687712768;2172235776
3;1136;2288;8;0;0;0
4;4208;9328;8;0;15625984;0
5;16496;36976;8;0;15626240;0
6;65648;147568;8;0;31435264;0
7;262256;589936;8;0;125013504;30877696
8;1048688;2621552;8;0;484218880;140849664
9;4194416;10485872;8;31229952;1906201600;531602688
10;16777328;41943152;8;156264448;7703713024;2156438272
3;1136;2288;8;0;0;0
4;4208;9328;8;0;0;0
5;16496;36976;8;0;15625728;0
6;65648;147568;8;0;31252224;0
7;262256;589936;8;15528704;109545728;46878720
8;1048688;2621552;8;0;484372224;140472064
9;4194416;10485872;8;30954496;1890864384;531346688
10;16777328;41943152;8;140614912;7687891712;2156144128
3;1136;2288;8;0;0;0
4;4208;9328;8;0;0;0
5;16496;36976;8;0;0;0
6;65648;147568;8;0;31249152;15714816
7;262256;589936;8;0;109365760;31257600
8;1048688;2621552;8;0;484403712;140848640
9;4194416;10485872;8;46959616;1890569984;531114496
10;16777328;41943152;8;156638464;7703337728;2156342528
3;1136;2288;8;0;0;0
