num_qubits;DJ_times;DJ_sizes;BV_times;BV_sizes;grover_times;grover_sizes
2;0.008998870849609375;966;0.004000663757324219;280;0.009001016616821289;1304
3;0.0010020732879638672;635;0.003998756408691406;760;0.008000850677490234;1704
4;0.005001544952392578;1043;0.005002021789550781;280;0.007000923156738281;1760
5;0.010999679565429688;787;0.006999492645263672;1216;0.023999691009521484;2336
6;0.029997825622558594;875;0.03099966049194336;816;0.2200002670288086;2176
7;0.2129988670349121;1019;0.5280096530914307;1976;0.14800024032592773;3992
8;2.0350096225738525;739;3.024010419845581;1400;3.652010440826416;4096
9;17.843010187149048;1035;22.08905529975891;1504;8.337011337280273;4184
10;108.31800985336304;1076;549.9640109539032;2344;200.73301005363464;5280
2;0.0;0;0.0;576;0.0;1040
3;0.0;400;0.0;664;0.0010001659393310547;1880
4;0.0009992122650146484;496;0.0010004043579101562;352;0.003001689910888672;1832
5;0.0029990673065185547;712;0.004000186920166016;1136;0.01399993896484375;2360
6;0.03499937057495117;672;0.03699922561645508;1320;0.19300007820129395;2296
7;0.27899813652038574;672;0.31799769401550293;1264;0.16900014877319336;4112
8;2.2440097332000732;728;4.064418077468872;1680;4.2120115756988525;4104
9;12.787009000778198;1032;45.159008741378784;1944;9.960010528564453;4208
10;144.93701004981995;784;186.11900973320007;1528;129.2940113544464;5288
2;0.0;336;0.0;568;0.0;1088
3;0.0;456;0.0009999275207519531;1040;0.0010027885437011719;1832
4;0.0010008811950683594;720;0.0009996891021728516;880;0.002002239227294922;1824
5;0.003999233245849609;544;0.003998517990112305;1296;0.010999679565429688;2352
6;0.03599882125854492;632;0.030999183654785156;1056;0.2930002212524414;2240
7;0.29199862480163574;672;0.44199657440185547;1776;0.14599990844726562;4112
8;2.0680105686187744;720;6.792009592056274;2304;3.8450124263763428;4160
9;17.23000979423523;816;31.83000874519348;1832;11.483011960983276;4256
10;107.60800981521606;1096;797.8723616600037;2584;131.92501163482666;5288
2;0.0;32;0.0;296;0.0009996891021728516;1040
3;0.0020003318786621094;608;0.0010001659393310547;352;0.0010020732879638672;1888
4;0.002000093460083008;448;0.0010006427764892578;976;0.0030012130737304688;1832
5;0.003999948501586914;760;0.003000020980834961;816;0.018001079559326172;2408
6;0.03599905967712402;624;0.028997421264648438;1256;0.2070002555847168;2248
7;0.18799710273742676;784;0.24299907684326172;1056;0.17799973487854004;4112
8;1.504009485244751;944;3.008009672164917;1368;3.909000873565674;4160
9;12.838010549545288;984;43.58600950241089;2096;6.934011936187744;4312
10;108.27501153945923;-8072;305.3230903148651;1736;139.4000117778778;5240
2;0.0010006427764892578;200;0.0010001659393310547;776;0.0;984
3;0.0010001659393310547;672;0.0010006427764892578;568;0.0010013580322265625;1832
4;0.0010018348693847656;768;0.0010001659393310547;928;0.0030014514923095703;1832
5;0.004999876022338867;496;0.003000020980834961;712;0.009999752044677734;2360
6;0.03399920463562012;576;0.03799796104431152;1320;0.2849998474121094;2240
7;0.1849985122680664;936;0.2909984588623047;1424;0.1680002212524414;4064
8;2.0450098514556885;720;3.687009572982788;1728;4.336010456085205;4112
9;12.780009746551514;1080;63.122008323669434;2304;8.248010873794556;4208
10;108.78601169586182;-7904;206.03000926971436;1472;149.26101160049438;5240
2;0.0;200;0.0;664;0.0;1040
3;0.002000093460083008;400;0.0010001659393310547;624;0.0020017623901367188;1888
4;0.0019996166229248047;448;0.0009992122650146484;928;0.004001617431640625;1832
5;0.004999876022338867;496;0.003999471664428711;1024;0.02200031280517578;2360
6;0.03499746322631836;528;0.03799915313720703;1320;0.17499995231628418;2240
7;0.2539982795715332;624;0.4369981288909912;1728;0.17200016975402832;4112
8;1.5270094871520996;984;2.671196699142456;1512;3.2910118103027344;4112
9;17.053009033203125;720;68.15500926971436;2304;12.626011610031128;4256
10;108.69399929046631;1144;287.2150094509125;1792;150.91431427001953;5240
2;0.0;-16;0.0010006427764892578;664;0.0;1040
3;0.001999378204345703;496;0.0;768;0.0010018348693847656;1880
4;0.001999378204345703;504;0.0009987354278564453;1024;0.0039997100830078125;1832
5;0.00599980354309082;592;0.003999471664428711;1120;0.023000001907348633;2408
6;0.02599954605102539;888;0.0299985408782959;1200;0.20800018310546875;2192
7;0.247999906539917;720;0.3749964237213135;1632;0.12600040435791016;4320
8;1.5370094776153564;888;5.0680091381073;1896;3.6530117988586426;4112
9;17.178008794784546;672;22.70801043510437;1568;13.691011905670166;4208
10;145.1200098991394;880;234.8360116481781;1840;177.78201150894165;5288
2;0.0;80;0.0;352;0.0009999275207519531;1088
3;0.005999326705932617;544;0.0;720;0.0010013580322265625;1880
4;0.0019989013671875;768;0.0010006427764892578;920;0.0030012130737304688;1832
5;0.004998445510864258;496;0.003999948501586914;976;0.02100062370300293;2616
6;0.03399920463562012;624;0.0469970703125;1536;0.1660001277923584;2192
7;0.18599891662597656;792;0.25299930572509766;1104;0.12999987602233887;4064
8;1.5190095901489258;936;2.567009687423706;1368;5.12201189994812;4160
9;12.792009830474854;936;46.04500937461853;2088;13.815011978149414;4256
10;107.97701025009155;1192;205.85100984573364;1624;148.40001106262207;5288
2;0.0;344;0.0;568;0.0;1088
3;0.00099945068359375;664;0.0;664;0.0010008811950683594;2088
4;0.0009999275207519531;448;0.002000093460083008;1192;0.0040018558502197266;1832
5;0.0039997100830078125;664;0.004000186920166016;1128;0.018000364303588867;2360
6;0.02599954605102539;792;0.0299985408782959;1008;0.16100001335144043;2240
7;0.24899840354919434;624;0.324998140335083;1464;0.16300058364868164;4168
8;1.5510096549987793;832;5.37401008605957;2040;4.01501202583313;4112
9;17.119008541107178;768;63.1400089263916;2256;10.421010255813599;3704
10;107.80400824546814;944;301.9100091457367;1888;151.76220536231995;5240
2;0.0;248;0.0009999275207519531;664;0.0009999275207519531;1040
3;0.001999378204345703;664;0.0;664;0.0009999275207519531;1832
4;0.0019998550415039062;664;0.00099945068359375;352;0.0030019283294677734;1832
5;0.004998922348022461;504;0.003000020980834961;808;0.018999814987182617;2360
6;0.03599810600280762;720;0.03899812698364258;1320;0.23400044441223145;2240
7;0.1849987506866455;840;0.4649980068206787;1728;0.13100004196166992;4064
8;1.5350093841552734;984;3.8300094604492188;1680;5.204010009765625;4112
9;12.845009088516235;936;11.93200945854187;984;8.629999876022339;4312
10;108.0400083065033;1040;149.00800943374634;1312;159.25601148605347;5288
2;0.0;344;0.0;520;0.0;1088
3;0.0009989738464355469;720;0.0;928;0.0010008811950683594;2088
4;0.006997108459472656;760;0.007996559143066406;352;0.007001161575317383;1880
5;0.009998083114624023;496;0.008998632431030273;1344;0.021001100540161133;2408
6;0.03199934959411621;576;0.04799818992614746;1584;0.13100028038024902;2240
7;0.2019972801208496;840;0.23299932479858398;1152;0.169999361038208;4112
8;1.6320085525512695;936;1.9460086822509766;1200;3.580012083053589;4160
9;17.31201171875;152;17.33000922203064;1096;9.001011848449707;4208
10;144.4310097694397;784;755.5530097484589;2584;151.6230113506317;5240
2;0.0009996891021728516;-16;0.0010001659393310547;400;0.0;1040
3;0.003000974655151367;672;0.004996776580810547;664;0.002001523971557617;1880
4;0.009999752044677734;712;0.011998891830444336;928;0.00899958610534668;1880
5;0.015999794006347656;544;0.0049991607666015625;976;0.0260007381439209;2408
6;0.033002614974975586;792;0.03599810600280762;1104;0.26200056076049805;2240
7;0.257997989654541;624;0.21699857711791992;1112;0.12800025939941406;4064
8;1.512009620666504;888;4.592008829116821;2040;4.907012224197388;4160
9;17.312008380889893;768;50.36700916290283;2088;10.737011909484863;4208
10;107.72601008415222;1096;595.3379995822906;2368;142.70500016212463;5288
2;0.421999454498291;-16;0.005998134613037109;304;0.5319986343383789;1040
3;0.006999015808105469;448;0.08900022506713867;832;0.0820012092590332;1832
4;0.006999969482421875;664;0.040000200271606445;664;0.00600123405456543;1832
5;0.004999876022338867;496;0.0039997100830078125;1024;0.01600050926208496;2408
6;0.021999597549438477;-7776;0.045998334884643555;1480;0.23799991607666016;2192
7;0.18199825286865234;792;0.22099781036376953;1104;0.14200043678283691;4064
8;2.0550103187561035;776;3.7280101776123047;1632;4.375011920928955;4112
9;12.800009727478027;888;46.067999839782715;2040;10.078011751174927;4208
10;108.3290102481842;1096;298.91100883483887;1888;170.85701179504395;5240
2;0.0;248;0.0;520;0.001001596450805664;1096
3;0.0;704;0.0;616;0.001001596450805664;1880
4;0.0019998550415039062;448;0.0009999275207519531;976;0.0030014514923095703;1832
5;0.003999948501586914;712;0.003998756408691406;976;0.010999679565429688;2408
6;0.022996902465820312;840;0.030000686645507812;-7344;0.23800039291381836;2192
7;0.18799757957458496;840;0.30499815940856934;1320;0.2089998722076416;4064
8;2.062009334564209;624;1.3449981212615967;840;3.5950119495391846;4112
9;17.178009271621704;720;17.20000910758972;1248;6.890011787414551;4312
10;145.20400881767273;832;288.04500913619995;1936;177.3690116405487;5288
2;0.0;344;0.0;568;0.0;1088
3;0.026987314224243164;352;0.0;760;0.0010013580322265625;1936
4;0.0009989738464355469;488;0.0009999275207519531;352;0.0030014514923095703;1880
5;0.031998634338378906;760;0.002999544143676758;448;0.021001100540161133;2464
6;0.024998903274536133;800;0.030999422073364258;1008;0.13200020790100098;1928
7;0.24899864196777344;576;0.31799864768981934;1464;0.16900062561035156;4064
8;1.5890100002288818;888;4.046008825302124;1632;3.9650115966796875;4112
9;17.131009817123413;672;17.595009326934814;1248;9.017011642456055;4256
10;144.60900926589966;880;211.18000960350037;1576;177.73401188850403;5288
2;0.0;224;0.02799844741821289;304;0.0;1088
3;0.002000093460083008;616;0.0;496;0.0010004043579101562;1936
4;0.0019996166229248047;440;0.0010001659393310547;1192;0.00400090217590332;1880
5;0.009998798370361328;712;0.010998964309692383;1072;0.018999814987182617;2360
6;0.03399968147277832;840;0.06100058555603027;1536;0.2500004768371582;2448
7;0.25499773025512695;576;0.2889986038208008;1368;0.20800042152404785;4064
8;1.5220086574554443;888;2.0750091075897217;1200;4.000011682510376;4160
9;17.288009643554688;816;36.74000954627991;2040;9.882011651992798;4256
10;108.267009973526;1056;1062.6350083351135;2944;200.3110113143921;5240
2;0.0;200;0.0010006427764892578;304;0.0;1040
3;0.0010001659393310547;664;0.027997732162475586;832;0.0;1832
4;0.002001523971557617;664;0.029000043869018555;712;0.0030014514923095703;1832
5;0.03199958801269531;496;0.030997753143310547;984;0.020999431610107422;2304
6;0.05199909210205078;792;0.09099864959716797;1896;0.20599985122680664;2240
7;0.18199872970581055;840;0.3269970417022705;1320;0.09599995613098145;4064
8;1.558009147644043;840;3.758009433746338;1728;4.184011459350586;4160
9;17.179009437561035;768;24.133007049560547;1520;11.508010387420654;3888
10;144.32600951194763;728;267.8580090999603;1888;161.49301147460938;5240
2;0.001001119613647461;128;0.0;664;0.0;1040
3;0.028998136520385742;568;0.0;400;0.0010023117065429688;1888
4;0.0019998550415039062;544;0.0010004043579101562;616;0.0030014514923095703;2088
5;0.004999637603759766;448;0.002999544143676758;712;0.015001535415649414;2408
6;0.025997638702392578;792;0.05599832534790039;1104;0.18000030517578125;2192
7;0.25699782371520996;720;0.4459974765777588;1680;0.17500042915344238;4112
8;2.0410091876983643;720;3.6880099773406982;1680;3.433011531829834;4112
9;17.214009284973145;720;34.38700890541077;1776;6.7460010051727295;4256
10;144.35000801086426;880;378.07751297950745;2056;170.5230119228363;5240
2;0.0009999275207519531;32;0.0;448;0.0;1088
3;0.0009989738464355469;400;0.02799844741821289;616;0.0;1832
4;0.0279996395111084;496;0.0010001659393310547;664;0.003001689910888672;1880
5;0.00599980354309082;448;0.0029993057250976562;664;0.018999099731445312;2408
6;0.024997472763061523;792;0.03099966049194336;1056;0.2820000648498535;2448
7;0.1849968433380127;888;0.3289980888366699;1368;0.20800065994262695;4112
8;1.528008222579956;840;5.242008447647095;1896;3.5960116386413574;4112
9;12.791008472442627;888;23.851009368896484;1464;10.455012083053589;4256
10;145.4980080127716;832;262.80500888824463;1840;128.6160023212433;5288
2;0.0;248;0.0029985904693603516;304;0.0;1088
3;0.0009999275207519531;408;0.0009992122650146484;512;0.0010023117065429688;1832
4;0.0009984970092773438;616;0.0010013580322265625;616;0.0030012130737304688;-6384
5;0.03199887275695801;608;0.031998395919799805;400;0.01399993896484375;2360
6;0.03499579429626465;576;0.06499671936035156;1272;0.16500020027160645;2192
7;0.18499755859375;848;0.26399731636047363;1048;0.17299985885620117;4112
