NumQubits;SizeOfDMat;SizeOfSMat;SizeOfFMat;AccessTimeDMat;AccessTimeSMat;AccessTimeFMat
11;67108976;167772272;8;594161408;30736531200;8703791360
12;268435568;671088752;8;2453747968;123368381952;34924727296
11;67108976;167772272;8;640281600;31127565824;8672386816
12;268435568;671088752;8;2406433792;123525248000;34893499648
11;67108976;167772272;8;624935168;30830188800;8735311104
12;268435568;671088752;8;2390996480;123649940480;34940619008
11;67108976;167772272;8;609403648;30705657344;8703797504
12;268435568;671088752;8;2359941376;124087237888;35018139648
11;67108976;167772272;8;609014528;30830658560;8641283328
12;268435568;671088752;8;2375357184;122650004480;34940002816
11;67108976;167772272;8;609384960;30908241408;8704019712
12;268435568;671088752;8;2406440960;123618628608;34909353984
11;67108976;167772272;8;609175040;31002380544;8766283008
12;268435568;671088752;8;2453676544;122962346496;34940366592
11;67108976;167772272;8;608868352;30752175872;8657090560
12;268435568;671088752;8;2375545088;122931088384;34987348224
11;67108976;167772272;8;609477888;30689473280;8688364032
12;268435568;671088752;8;2422431488;124055990528;35081114880
11;67108976;167772272;8;593849600;30877164544;8672840192
12;268435568;671088752;8;2406478592;122884404992;34909125376
11;67108976;167772272;8;609406976;30971292416;8688163840
12;268435568;671088752;8;2468739840;123368818944;35190406656
11;67108976;167772272;8;609808384;30939639296;8688370432
12;268435568;671088752;8;2469110272;122681256192;34955634688
11;67108976;167772272;8;609218560;30877185280;8719588608
12;268435568;671088752;8;2437686272;123072090880;34846872576
11;67108976;167772272;8;609193216;30955494656;8672720640
12;268435568;671088752;8;2531621888;123899927552;34877495296
11;67108976;167772272;8;609486080;30814475520;8719596288
12;268435568;671088752;8;2390982656;122884393984;34924854016
11;67108976;167772272;8;609057024;30877352192;8735224064
12;268435568;671088752;8;2437873408;122993857536;34893308160
11;67108976;167772272;8;609793024;30924030976;8641490432
12;268435568;671088752;8;2578331648;122962701056;35081031168
11;67108976;167772272;8;593595648;30814789632;8750489088
12;268435568;671088752;8;2359694848;122587359744;34971633408
11;67108976;167772272;8;625212928;30861558272;8688348928
12;268435568;671088752;8;2468938496;124337643008;35096732160
11;67108976;167772272;8;593667072;30736545280;8750866176
12;268435568;671088752;8;2500209408;123056000512;34987491328
11;67108976;167772272;8;609026816;31174259200;8719594240
12;268435568;671088752;8;2390800896;123165542400;35112075008
11;67108976;167772272;8;609426688;31002554624;8734955520
12;268435568;671088752;8;2422060288;123040849664;35065303552
11;67108976;167772272;8;609024768;30924519680;8719412992
12;268435568;671088752;8;2453524992;123384410880;35018025216
11;67108976;167772272;8;624700160;30892910336;8719609088
12;268435568;671088752;8;2359559168;125275402240;34986862848
11;67108976;167772272;8;609266432;30986502656;8703787776
12;268435568;671088752;8;2453312512;126166074880;35065537792
11;67108976;167772272;8;609265664;30892791808;8688158464
12;268435568;671088752;8;2468948224;123447116288;34987305216
11;67108976;167772272;8;609495808;31236605440;8703975168
12;268435568;671088752;8;2453485312;123759473152;35002755328
11;67108976;167772272;8;593664768;30924055808;8719591168
12;268435568;671088752;8;2468928512;123321931008;35112074240
11;67108976;167772272;8;609586176;30924317440;8719616512
12;268435568;671088752;8;2500189696;123837771008;35127815680
11;67108976;167772272;8;593962752;30861789952;8766491392
12;268435568;671088752;8;2578498304;123478007296;35096518912
11;67108976;167772272;8;608887808;30924230656;8766592768
12;268435568;671088752;8;2375177984;123087362304;35081243648
11;67108976;167772272;8;593256960;31189751296;8735342080
12;268435568;671088752;8;2453480960;123368633344;35283763456
11;67108976;167772272;8;624583680;30908502784;8719417600
12;268435568;671088752;8;2375567104;123337349376;35127816960
11;67108976;167772272;8;609585664;30783605248;8735456768
12;268435568;671088752;8;2391057408;123243550464;35049683456
11;67108976;167772272;8;624914432;30877174016;8704046848
12;268435568;671088752;8;2484772864;123228155904;35206115584
11;67108976;167772272;8;608737792;30846108672;8734927360
12;268435568;671088752;8;2359802112;123102916864;35033934336
11;67108976;167772272;8;593978368;30830475008;8719613440
12;268435568;671088752;8;2484740352;123056286464;35065316352
11;67108976;167772272;8;593658624;30846180608;8657123328
12;268435568;671088752;8;2531553024;123149941248;35159148800
11;67108976;167772272;8;609107200;30861735168;8719664640
12;268435568;671088752;8;2453312256;123681333248;35018309120
11;67108976;167772272;8;671787008;31237071616;8719600640
12;268435568;671088752;8;2375382528;123884323840;35065066496
11;67108976;167772272;8;593961728;31049375488;8781920512
12;268435568;671088752;8;2390985984;123525069056;35111764480
11;67108976;167772272;8;593482240;30986967808;8641285888
12;268435568;671088752;8;2390625280;123259492864;35065154304
11;67108976;167772272;8;625016064;30923838976;8703554048
